node id, NULL, x, y, useless field, useless field
1001,NULL,120.372923333333,31.4834383333333,46.1,NULL,2
1003,NULL,120.37285,31.48324,42.6,NULL,2
1004,NULL,120.372768333333,31.4843266666667,8.9,NULL,2
1006,NULL,120.371171666667,31.4829766666667,35.9,NULL,2
1007,NULL,120.37308,31.483715,8.8,NULL,2
1008,NULL,120.37268,31.4837366666667,14.9,NULL,2
1010,NULL,120.372648333333,31.48331,61.8,NULL,2
1011,NULL,120.372356666667,31.4831666666667,50,NULL,2
1013,NULL,120.372236666667,31.4839616666667,1.5,NULL,2
1014,NULL,120.37312,31.4843283333333,12.5,NULL,2
1015,NULL,120.373135,31.4832283333333,39.5,NULL,2
1016,NULL,120.373018333333,31.483345,43.9,NULL,2
1018,NULL,120.373158333333,31.4841833333333,3.5,NULL,2
1019,NULL,120.37227,31.48387,13.6,NULL,2
1020,NULL,120.372921666667,31.483325,49.2,NULL,2
1021,NULL,120.372253333333,31.483475,13.7,NULL,2
1022,NULL,120.372083333333,31.4830833333333,74.8,NULL,2
1023,NULL,120.372266666667,31.48351,16.1,NULL,2
1024,NULL,120.372245,31.484135,5.9,NULL,2
1026,NULL,120.372171666667,31.48327,15.4,NULL,2
1030,NULL,120.372883333333,31.484315,8.7,NULL,2
1033,NULL,120.373061666667,31.483195,40,NULL,2
1035,NULL,120.373046666667,31.484025,1.7,NULL,2
1037,NULL,120.37347,31.48394,5.4,NULL,2
1038,NULL,120.373775,31.4836883333333,16.4,NULL,2
1039,NULL,120.373013333333,31.4841883333333,3.1,NULL,2
1040,NULL,120.37289,31.4836416666667,29.5,NULL,2
1041,NULL,120.372268333333,31.4843083333333,6.5,NULL,2
1042,NULL,120.37301,31.484385,10.1,NULL,2
1043,NULL,120.372616666667,31.4836616666667,17.6,NULL,2
1045,NULL,120.373021666667,31.4832816666667,36.9,NULL,2
1047,NULL,120.372888333333,31.4836533333333,11.2,NULL,2
1048,NULL,120.372058333333,31.4829516666667,85.4,NULL,2
1050,NULL,120.37257,31.4843283333333,8,NULL,2
1051,NULL,120.37224,31.4837383333333,15,NULL,2
1052,NULL,120.372231666667,31.48371,11.9,NULL,2
1053,NULL,120.372496666667,31.48372,17.3,NULL,2
1055,NULL,120.372276666667,31.48308,82,NULL,2
1056,NULL,120.372738333333,31.4834216666667,57.7,NULL,2
1057,NULL,120.372188333333,31.4842583333333,5.4,NULL,2
1058,NULL,120.37215,31.4843016666667,6.5,NULL,2
1059,NULL,120.372675,31.4842916666667,7.7,NULL,2
1060,NULL,120.372651666667,31.4841333333333,8.6,NULL,2
1061,NULL,120.373413333333,31.4836116666667,10.2,NULL,2
1063,NULL,120.372538333333,31.4841383333333,3.7,NULL,2
1064,NULL,120.37243,31.48426,7.5,NULL,2
1065,NULL,120.373413333333,31.4837583333333,10.9,NULL,2
1066,NULL,120.37273,31.4838733333333,10.8,NULL,2
1067,NULL,120.37267,31.4836116666667,16.4,NULL,2
1070,NULL,120.373826666667,31.4831833333333,22.5,NULL,2
1071,NULL,120.372515,31.48382,11.3,NULL,2
1072,NULL,120.373686666667,31.4835616666667,14.1,NULL,2
1073,NULL,120.372776666667,31.48415,8.3,NULL,2
1075,NULL,120.372931666667,31.4838816666667,13.8,NULL,2
1076,NULL,120.371986666667,31.482935,121.7,NULL,2
1077,NULL,120.372141666667,31.483055,99.6,NULL,2
